MetaCyc Pathway	bushbuckridge_1	bushbuckridge_2	bushbuckridge_3	bushbuckridge_4	bushbuckridge_5	bushbuckridge_6	bushbuckridge_7	bushbuckridge_8	bushbuckridge_9	bushbuckridge_10	bushbuckridge_11	bushbuckridge_12	bushbuckridge_13	bushbuckridge_14	bushbuckridge_15	bushbuckridge_16	bushbuckridge_17	bushbuckridge_18	bushbuckridge_19	bushbuckridge_20	bushbuckridge_21	bushbuckridge_22	bushbuckridge_23	bushbuckridge_24	bushbuckridge_25	bushbuckridge_26	bushbuckridge_27	bushbuckridge_28	bushbuckridge_29	bushbuckridge_30	bushbuckridge_31	bushbuckridge_32	bushbuckridge_33	bushbuckridge_34	bushbuckridge_35	bushbuckridge_36	bushbuckridge_37	bushbuckridge_38	bushbuckridge_39	bushbuckridge_40	bushbuckridge_41	bushbuckridge_42	bushbuckridge_43	bushbuckridge_44	bushbuckridge_45	bushbuckridge_46	bushbuckridge_47	bushbuckridge_48	bushbuckridge_49	bushbuckridge_50	bushbuckridge_51	bushbuckridge_52	bushbuckridge_53	bushbuckridge_54	bushbuckridge_55	bushbuckridge_56	bushbuckridge_57	bushbuckridge_58	bushbuckridge_59	bushbuckridge_60	bushbuckridge_61	bushbuckridge_62	bushbuckridge_63	bushbuckridge_64	bushbuckridge_65	bushbuckridge_66	bushbuckridge_67	bushbuckridge_68	bushbuckridge_69	bushbuckridge_70	bushbuckridge_71	bushbuckridge_72	bushbuckridge_73	bushbuckridge_74	bushbuckridge_75	bushbuckridge_76	bushbuckridge_77	bushbuckridge_78	bushbuckridge_79	bushbuckridge_80	bushbuckridge_81	bushbuckridge_82	bushbuckridge_83	bushbuckridge_84	bushbuckridge_85	bushbuckridge_86	bushbuckridge_87	bushbuckridge_88	bushbuckridge_89	bushbuckridge_90	bushbuckridge_91	bushbuckridge_92	bushbuckridge_93	bushbuckridge_94	bushbuckridge_95	bushbuckridge_96	bushbuckridge_97	bushbuckridge_98	bushbuckridge_99	bushbuckridge_100	bushbuckridge_101	bushbuckridge_102	bushbuckridge_103	bushbuckridge_104	bushbuckridge_105	bushbuckridge_106	bushbuckridge_107	bushbuckridge_108	bushbuckridge_109	bushbuckridge_110	bushbuckridge_111	bushbuckridge_112	bushbuckridge_113	bushbuckridge_114	bushbuckridge_115	bushbuckridge_116	bushbuckridge_117	bushbuckridge_118	soweto_1	soweto_2	soweto_3	soweto_4	soweto_5	soweto_6	soweto_7	soweto_8	soweto_9	soweto_10	soweto_11	soweto_12	soweto_13	soweto_14	soweto_15	soweto_16	soweto_17	soweto_18	soweto_19	soweto_20	soweto_21	soweto_22	soweto_23	soweto_24	soweto_25	soweto_26	soweto_27	soweto_28	soweto_29	soweto_30	soweto_31	soweto_32	soweto_33	soweto_34	soweto_35	soweto_36	soweto_37	soweto_38	soweto_39	soweto_40	soweto_41	soweto_42	soweto_43	soweto_44	soweto_45	soweto_46	soweto_47	soweto_48	soweto_49	soweto_50	soweto_51
PWY-7094: fatty acid salvage	0	0.900283	0	0	21.2171	0	0	0	1.24344	15.9491	0.921265	2.34007	0	0	0	0	0	0	17.0435	3.90553	20.6723	0.563107	13.7485	0.513703	54.9672	33.2987	0.816846	0.608165	0.28819	20.2109	0	0.691614	0	0.429487	3.60258	22.0662	8.888	0	5.05598	0	34.6748	1.50161	0	4.5076	0.334733	3.62125	21.9771	4.13579	17.9268	0	0	0.791794	0.586601	0	0.720647	0	0	29.184	6.62289	0.662023	0	0	1.86541	2.4769	4.58942	0	0.887669	1.15039	0.969624	0.267535	56.6688	0	0	0	0	1.09872	11.4725	0	0	8.84137	0	0	0	0	0.634894	44.7497	6.74659	1.62338	0.889429	0	0	37.466	3.58648	0.473919	0.627889	0.556426	9.67339	0	23.3153	0.417562	0	0.818374	0	3.1417	4.78409	9.02631	1.36457	0	0	3.13904	0	14.4506	0	0	0	5.42612	0.707306	6.92296	0	16.3943	1.64098	0	0.810577	1.42595	0	0	0	0	20.3587	0	1.91757	0	4.1712	0	0	0	0	8.06058	0	0	0	3.66128	0	3.50598	0.893956	0	2.25447	0	0	0	0	78.8975	0	17.2416	0	0	1.23262	0	7.03247	0	0	0	0	0	0	0	26.1046	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)	1042.6	890.39	1253.1	876.398	621.155	566.651	765.325	524.597	579.973	422.746	632.038	691.009	922.305	936.531	356.979	966.52	334.563	786.521	696.576	798.112	601.716	939.425	392.179	416.623	603.701	599.174	844.68	615.855	728.515	665.729	828.319	806.184	821.5	858.38	680.465	664.715	786.76	819.445	717.279	730.189	682.95	799.372	843.022	677.87	640.566	1182.53	723.792	508.268	778.353	696.284	684.436	649.598	771.085	393.021	317.996	414.968	905.616	484.185	458.983	376.605	998.822	928.399	650.409	821.29	859.849	809.523	560.414	818.364	603.07	1102.78	558.962	858.36	0	992.17	1135.02	762.317	775.513	796.679	656.625	833.247	841.037	592.053	975.625	1061.1	674.12	559.442	507.065	942.149	893.804	927.734	696.929	718.451	830.98	712.015	861.339	861.895	608.056	652.662	719.802	458.598	820.997	521.33	1011.51	704.848	640.301	443.142	990.254	716.791	442.784	1028.44	873.684	730.43	672.492	421.304	1305.87	960.963	699.706	491.143	1093.84	571.311	720.35	809.679	636.403	581.636	1154.82	936.417	897.749	546.454	1006.72	894.964	644.832	882.204	755.594	507.64	677.643	699.62	886.425	404.637	733.827	344.077	857.806	599.768	620.207	662.474	590.693	791.527	671.144	1063.61	731.718	768.369	570.292	756.053	666.94	648.814	577.059	826.46	532.794	648.876	853.541	759.132	715.818	529.011	790.438	775.434	483.684	582.463	559.907	585.153	309.982
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	0	77.7702	12.592	15.2177	27.1729	22.8449	6.63617	20.1746	19.9979	59.1913	34.4627	71.6136	15.3183	0	0	6.09101	22.1318	10.328	71.1364	18.5313	125.986	26.8042	52.8295	34.8706	90.5776	110.333	28.1425	33.8366	18.1698	88.8981	10.225	40.9534	7.94089	21.6452	81.4811	95.3224	36.1299	7.15081	55.1093	20.7789	75.3526	89.9191	9.39034	5.92574	25.8808	29.6323	51.7338	108.944	37.628	21.6748	6.78806	23.6169	13.0435	0	52.1902	5.36896	16.8965	61.8127	39.3019	20.4305	6.67543	17.1526	51.2364	50.7168	50.6609	20.4907	40.6991	33.1759	25.3205	25.7347	116.35	26.5905	0	40.9523	25.6503	88.5907	61.3665	20.6284	40.9367	50.864	19.9023	27.0813	5.52958	0	17.3667	75.4681	104.394	60.0534	58.3723	9.79241	13.836	108.705	47.3502	20.2781	24.393	156.819	100.21	16.4357	86.7299	62.3071	12.2197	64.3842	46.2238	78.8301	19.7356	40.7942	39.2902	5.92547	13.1692	61.8234	5.31949	95.1853	39.894	23.3216	6.4722	44.8746	18.0543	42.6202	8.15899	62.3599	3.96435	40.0825	26.2929	44.5814	15.1364	28.2944	0	11.8222	48.513	0	6.3247	25.4525	50.7782	0	13.1974	44.1602	0	74.89	25.2797	0	67.2326	98.0655	63.1431	17.7623	62.6721	7.14911	43.6345	15.9047	0	0	22.3652	181.966	0	146.427	12.8602	1.8575	43.605	0	20.9432	3.23866	58.3311	25.2016	44.9051	38.964	33.0216	0	51.6484	25.6619	50.7623
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	0	60.4272	8.22916	9.79413	40.5871	17.0154	4.72855	16.4096	19.4179	167.244	41.0058	64.5628	17.9639	0	0	4.04231	23.0394	8.03953	52.5785	63.8249	251.269	20.4141	51.7474	26.7784	102.739	143.404	19.0789	32.3593	14.3033	194.575	7.55485	28.6105	5.79515	14.5566	187.158	84.8682	25.5055	23.2042	54.3411	18.4644	80.9162	84.8828	6.68062	22.6831	23.5648	37.2694	59.2451	149.927	26.1967	16.2062	4.73527	18.4848	10.7724	0	81.9057	3.60205	14.765	54.348	39.2548	17.708	4.53307	17.3579	65.2362	37.9261	37.7921	14.3933	73.8737	30.0969	18.4456	16.4623	139.677	26.6221	0	40.233	18.0707	87.619	44.66	15.3483	29.2731	34.4545	14.1889	17.9239	3.69374	0	12.4136	156.257	102.335	64.5744	53.0969	6.79408	9.45962	181.42	32.7056	16.4165	17.9469	123.935	105.754	12.5727	126.089	87.8058	8.51735	57.4527	34.9753	59.9729	13.733	34.3007	34.2455	4.08718	12.4879	75.8503	3.58207	104.812	34.2594	19.9387	4.25429	40.6591	13.2844	38.6084	40.5718	73.7903	39.8768	50.0622	21.478	60.5856	13.7056	28.6888	144.258	9.05801	132.834	0	63.6004	23.31	36.6716	29.1119	9.82809	48.6962	0	61.1737	34.7924	0	100.621	88.3862	104.666	99.8359	92.077	7.47857	37.1348	15.6297	0	0	21.1746	249.969	0	266.015	9.62825	17.3724	45.4644	0	37.8595	10.8609	98.5858	16.0021	30.0022	34.6643	88.3748	0	43.1702	23.3753	69.1525
PWY-7118: chitin degradation to ethanol	0	0.527177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184837	0	0.467402	0	0.257803	0	0	0	0	0.977858	0	0.160489	0	0	0.590011	1.08765	0.276841	0	0.592374	0	1.07862	0	0	0	0	0	0	0	0.294962	0	0	0	0	0	0.638591	0	0	0	0	0	0	0	0	0.406149	0.302551	0	0.266355	0	0	0	6.44634	0	0	0.442439	0	0	0.84888	0	0	0.37095	0	0	0	0	0	0.285588	0.197646	0	0	0	0	0.939495	0	0	0	0	0.480283	0	1.3082	0.170166	0	0.227563	0	0.249992	0	0.446924	0	0	0	0	0	0.830172	0	0	0	0	0	0.484157	0	1.45846	0	0.586189	0	0	0	0	0	0	1.46069	0	0	0	0	0	0	0	0	0.509355	0	0	0	0	0	0	0	0	0	0	0	0	0	0.548828	0	0.206212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7165: L-ascorbate biosynthesis VI (engineered pathway)	0	2.092	0	0	6.09007	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0082	0	20.4806	0	0	0	4.57168	0	0	0	0	0	0	0	1.35853	0	0	29.8203	3.09431	0	4.73758	0	22.2105	0	0	0	0	0	7.21899	3.97862	1.54639	0	0	0	0	0	9.66589	0	0	19.7799	0	0	0	0	1.838	2.48334	3.37674	1.17835	1.30632	0	0	1.3466	33.2637	0	0	0.443378	0	0	2.5733	0	0	6.78366	0	0	0	0	0	13.1215	4.26587	0.675897	0	0	0	30.2822	1.77236	0	0	0	5.15294	0	26.8722	6.06268	0	5.6234	0	0	0	7.35554	0	0	0	0	0	14.9054	0	0	0	0	2.03735	7.52735	0	11.5854	0	1.67539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.9188	0	25.3282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	128.78	98.2612	208.255	204.837	173.969	218.281	110.757	99.9419	186.937	223.925	205.572	188.82	109.62	158.57	184.276	62.0961	180.357	188.919	168.834	226.394	186.492	179.881	143.571	161.095	159.256	195.609	143.097	229.88	208.221	108.226	174.826	243.623	168.913	228.439	204.468	203.791	147.815	174.824	191.983	188.119	199.771	122.131	242.877	248.447	192.663	86.2497	191.95	136.407	250.604	151.358	110.794	132.7	92.7737	161.05	166.231	182.697	124.188	156.099	239.607	154.456	161.517	172.964	297.533	255.134	204.858	261.908	244.514	204.326	230.723	137.882	240.74	164.968	0	85.2952	162.858	200.278	272.638	193.438	201.983	185.316	131.699	224.388	221.408	32.3929	144.773	250.115	248.299	224.32	246.307	215.72	162.595	180.815	211.81	142.783	151.356	211.497	250.47	269.189	170.172	190.687	171.342	152.271	90.6929	155.78	167.627	225.485	83.7551	203.888	236.003	111.676	209.669	240.241	203.515	184.901	176.342	196.445	164.331	191.139	154.318	144.771	194.408	181.311	253.697	234.301	66.4438	122.819	273.227	102.046	108.792	180.874	294.342	156.734	192.993	175.511	114.009	230.864	62.8433	221.565	192.64	98.9224	211.052	215.714	101.374	274.721	308.298	191.67	236.732	158.25	180.168	94.2714	212.894	202.86	226.751	229.857	182.853	95.587	188.619	199.786	170.223	165.747	295.875	194.517	175.06	274.053	155.082	197.811	261.39	244.952	184.299
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	194.799	165.18	267.646	275.236	229.693	295.281	179.747	169.405	255.592	225.903	266.975	249.243	150.664	194.99	291.094	117.488	241.085	271.775	229.031	223.371	210.008	185.857	207.899	249.254	188.516	225.564	223.682	322.21	237.823	127.278	210.469	285.508	246.343	272.529	205.057	256.641	217.196	217.018	222.339	221.642	251.211	167.092	275.928	256.861	217.553	94.4898	208.297	196.875	300.885	223.513	187.376	213.614	158.501	244.732	248.985	278.394	176.109	232.651	314.572	239.689	224.119	202.243	319.186	321.853	271.87	326.771	243.834	255.747	285.058	208.983	245.759	171.698	0	112.452	156.392	251.174	426.388	253.365	283.689	265.418	198.262	308.478	268.297	40.9658	218.805	230.518	294.807	220.586	257.205	296.853	241.453	195.014	261.234	225.507	179.942	304.528	267.956	346.934	210.921	243.665	240.809	221.756	132.395	214.179	255.528	295.87	128.43	328.027	319.334	134.687	300.74	247.857	259.949	303.21	208.164	187.135	236.78	269.811	164.266	204.077	445.817	197.871	317.547	236.529	81.7804	127.451	343.88	180.887	106.191	226.127	326.806	207.339	240.539	253.138	182.953	266.947	121.474	290.264	210.218	177.82	222.542	266.857	184.283	279.073	304.214	198.522	237.552	161.246	210.262	142.216	279.537	186.312	234.398	244.681	256.327	98.1313	255.343	283.861	194.391	174.723	302.502	275.208	233.472	246.216	236.745	288.007	269.99	293.712	291.931
PWY-7196: superpathway of pyrimidine ribonucleosides salvage	1.11869	8.08402	0	57.1026	10.0133	205.089	70.7309	66.6084	105.205	105.567	65.2908	61.5021	4.3495	83.0567	98.6155	8.78429	0	25.8319	8.85001	23.7402	4.3895	6.11804	32.0476	14.9375	6.55162	7.14316	4.84221	172.319	16.412	0	25.0121	40.0037	78.782	42.3003	36.7177	35.9459	22.1206	19.2958	74.384	81.5182	8.07623	0.75966	66.7647	97.2891	4.32975	10.5152	15.6087	117.514	15.1087	1.61998	27.9874	11.5579	96.6826	68.6207	76.9142	6.73404	53.647	10.4864	30.5173	71.8918	49.7926	22.082	13.5733	34.4523	15.2238	46.4836	80.4391	2.63331	3.32595	17.9146	46.2663	36.8131	0	2.31558	5.66779	36.6266	17.4156	27.7974	21.5118	4.91463	8.32856	26.2619	24.021	5.17963	3.46519	12.2277	24.0244	16.1131	14.4382	3.5455	12.9213	5.94327	23.2576	19.5187	35.2811	14.2957	47.5435	114.682	58.4677	43.1877	24.9642	20.777	34.9097	34.8297	11.1023	69.9396	60.7985	224.035	183.068	26.2016	43.9977	22.9984	35.1297	23.9665	27.3418	47.6193	17.0507	35.3474	14.4205	135.136	67.897	54.5987	211.824	20.943	2.86984	54.8247	8.93376	87.3933	16.8018	9.46836	8.77482	23.6308	75.8259	180.132	125.825	63.0444	65.8026	0	33.5441	0	11.5404	201.299	103.892	13.7012	8.34786	92.6884	3.57306	25.3113	42.0958	6.29414	8.93037	59.4305	106.168	48.3271	14.1731	9.08962	27.6239	158.983	114.528	2.72161	46.6736	33.2007	12.2873	7.81666	75.2205	144.874	203.43	7.05128	23.7825
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	91.7499	65.6102	162.21	162.997	110.755	157.422	70.9434	65.1696	125.594	155.045	136.888	128.07	75.577	96.5606	124.479	38.6937	121.288	138.479	119.01	131.774	127.293	124.693	94.5403	105.552	104.677	130.591	96.2896	166.224	151.818	69.5402	123.965	196.158	116.169	172.064	143.958	143.747	100.418	127.997	129.118	129.205	141.856	79.7981	164.881	158.637	126.222	58.8384	115.986	89.7477	195.613	102.62	75.5018	89.1878	63.5742	106.251	111.507	121.859	84.2893	105.916	168.605	101.096	110.415	129.13	217.401	186.366	145.393	202.437	156.687	154.878	169.737	94.9988	183.857	100.001	0	56.2105	104.914	145.836	231.641	139.842	142.142	129.443	95.6459	154.459	174.108	19.4984	97.2347	157.862	171.187	156.395	182.721	165.388	114.614	112.088	152.359	100.102	102.963	160.812	179.243	193.388	116.696	131.966	119.484	102.317	62.3838	103.121	118.067	157.415	53.3646	145.414	163.105	77.0416	159.097	177.709	143.639	126.052	135.897	131.422	115.412	130.183	92.0632	95.2092	103.968	122.004	184.417	159.629	43.3055	67.2367	231.056	64.8624	64.812	125.58	210.546	108.132	131.992	118.121	76.2208	164.369	39.8562	154.951	117.597	65.5771	136.53	148.106	64.9849	195.376	206.438	106.92	145.021	101.684	137.566	56.8327	141.468	144.054	154.366	167.786	125.692	48.7047	125.227	138.677	105.168	110.82	202.577	146.445	124.376	199.752	101.647	137.29	188.051	175.78	127.905
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	10.1116	12.5387	32.7346	8.71581	22.8482	21.928	9.60497	18.5197	41.1546	18.9807	17.1368	18.6293	62.1707	7.48165	35.5698	37.8322	19.8002	59.0131	126.622	79.9748	25.0029	12.7742	59.7509	34.2269	71.8408	17.6313	31.377	25.4424	31.4676	31.585	7.98352	15.9682	58.668	44.9844	9.83243	77.2883	11.4709	0	39.7663	8.62694	129.553	23.6702	11.421	12.9794	10.6741	12.8078	28.1465	82.4365	57.9592	7.84597	14.5499	24.3033	11.945	42.0971	29.3346	6.6243	10.9149	43.3637	25.2447	26.3116	6.30103	7.8831	11.627	27.6068	18.7183	25.3592	26.4544	21.2332	14.531	16.509	212.567	4.37828	0	14.6929	4.91221	73.133	178.467	47.9058	52.333	43.9714	5.136	56.7843	9.11353	5.70583	21.0634	30.4487	9.80584	9.201	11.1909	29.9923	18.2432	25.4206	15.132	29.1822	31.5364	101	50.8785	10.0333	59.4471	45.3368	39.897	13.7303	23.9037	36.0768	17.9195	42.0129	5.56179	22.0172	33.2334	4.68092	14.1254	60.4616	5.18195	60.253	35.6511	8.92622	7.60065	63.2756	35.3989	24.1331	81.4836	15.9805	27.7081	46.8504	0	13.7533	20.1782	8.20954	45.3343	35.6451	43.0309	0	12.6929	10.7506	43.174	21.3611	19.5908	55.6805	114.488	7.61161	33.3404	25.7481	92.4114	18.6795	13.9088	0	88.3144	28.3301	7.96953	77.4217	33.9007	103.973	0	96.1396	7.32073	1.00672	22.3147	23.7597	28.429	33.305	43.3596	50.4225	33.1028	38.6018	89.3176	7.78655	42.3683	67.6348	89.1782
PWY-7199: pyrimidine deoxyribonucleosides salvage	455.524	486.218	563.912	495.535	555.977	558.352	471.02	647.668	598.396	319.715	568.453	375.038	440.415	470.496	804.261	508.386	642.399	541.677	438.11	567.727	354.272	539.758	516.319	683.799	351.019	404.486	541.665	591.938	516.52	354.993	534.879	484.965	543.931	504.103	386.075	577.927	522.532	589.2	446.657	451.343	454.804	385.264	464.472	439.446	464.82	454.621	399.901	421.742	503.36	696.114	714.754	565.108	603.172	600.63	604.13	732.893	555.952	527.2	609.467	733.375	519.537	549.74	525.451	483.345	495.881	446.329	383.327	523.242	620.958	479.392	404.777	525.809	0	525.546	616.752	442.142	556.431	546.263	583.079	483.265	530.492	634.306	536.451	460.328	678.055	332.404	446.243	571.354	614.199	504.072	563.561	289.141	483.962	644.703	550.33	399.271	429.616	595.582	522.332	463.2	596.306	568.206	464.039	456.411	659.25	618.844	499.167	669.853	612.484	471.224	487.89	482.928	631.049	798.39	562.665	547.207	519.272	661.88	552.437	468.616	483.749	443.054	523.231	438.625	388.181	511.447	617.862	606.205	383.16	595.68	448.986	497.086	490.687	606.339	543.725	471.732	539.476	605.067	449.85	733.96	482.066	414.725	544.26	352.03	422.672	449.162	401.239	509.886	544.481	598.57	623.056	346.671	496.176	281.403	657.518	518.642	545.539	494.935	472.184	444.021	436.887	599.035	577.977	586.55	507.502	583.511	331.602	483.636	690.576
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	7.78097	7.84326	12.2089	8.69392	0	0	0	0	0	3.94325	0	0	13.6729	0	0	0	0	8.64678	0	5.84719	5.53763	17.0652	6.97866	0	1.84363	3.76347	0	0	10.8995	0.971477	14.877	0	0	9.9892	14.335	8.70402	7.92871	15.0325	2.41053	0	2.49654	0	0	0	8.92121	11.861	0	10.8743	10.3538	16.7102	0	3.56414	7.61235	0	0	29.4677	15.7965	0	9.85426	5.40828	14.2503	20.2028	0	0	0	0	0	0	10.7134	0	9.56118	15.054	0	15.1975	10.02	10.2685	13.2976	0	4.8961	28.1634	17.7296	7.17257	16.2211	0	0	26.9264	3.33654	0	17.3433	4.07458	0	0	8.7123	0	14.808	2.82989	8.95032	0	0	0	0	10.6087	21.0024	4.10224	0	11.9409	25.726	0	0	0	8.0259	18.4288	0	6.78648	17.4123	20.579	3.77707	0	0	18.3249	0	12.1274	0	0	22.0136	0	0	0	0	0	0	0	6.52032	0	16.1049	0	8.90353	0	0	15.2868	0	15.8427	0	10.1973	0	0	0	16.9259	35.1844	16.8847	16.2145	0	12.9441	0	0	17.6687	0	3.02159	15.4589	0	0	25.3143	16.5606	0	0	0	0	0	0
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	0	1.05468	0	0	5.4579	0	0	0	0	56.7239	0	27.0123	0	0	0	0	0	0	3.73351	4.87125	95.4632	5.86747	18.6001	2.27946	40.2078	100.965	0	0.770618	1.47759	58.0219	0	0.875945	0	0	61.8707	2.1677	2.6532	0	6.59857	0.208777	11.5736	41.591	0	1.16349	14.5533	0	2.29745	0.227356	15.6323	1.75718	0	0.261977	0	0	6.97594	0	0.412239	5.9465	7.85871	3.94586	0	0	19.0992	10.8813	1.92165	0.282013	3.43603	1.74406	5.41328	5.53416	19.0497	1.33466	0	0.59387	0	0.887859	4.91085	0.340756	0.33274	9.3241	0	0.455628	0	0	2.14052	69.2871	47.6076	0	18.5635	0	1.05476	111.6	10.7602	0.558116	2.81758	0.693404	44.6533	0.182493	1.73392	9.77278	0	22.5361	0	23.5289	1.05999	6.88817	4.28057	0	7.48254	3.68489	0.582162	3.25624	0	0.201974	0	18.8022	2.3387	8.16246	0	17.953	1.95274	0.988301	0	9.08839	0	0.654617	0	0	5.40899	1.7084	19.6829	0	0	0	0	0	0	0	0	0	0	4.86828	0	25.014	21.3976	0	5.39996	0	0	0	0	24.5567	0	1.67539	0	0	0	0	0	0	0	0	0	0	8.76411	0	17.59	0	0
PWY-7208: superpathway of pyrimidine nucleobases salvage	141.358	98.982	245.519	257.317	176.138	228.774	107.357	97.3366	189.219	235.228	210.114	189.673	127.419	208.952	180.01	58.4378	181.772	210.645	174.203	193.331	190.539	264.383	141.43	156.546	156.725	189.896	143.747	238.734	242.24	118.075	203.566	296.307	171.124	271.622	223.872	214.489	150.702	208.763	210.602	206.14	202.436	125.216	256.713	266.042	207.977	118.215	247.046	133.097	290.539	153.656	113.437	134.153	96.8579	156.828	161.83	178.6	129.824	153.056	246.173	148.376	173.572	235.499	313.899	273.197	216.976	292.282	318.602	230.962	245.049	143.349	266.148	315.552	0	94.6296	337.553	225.781	318.344	218.538	210.876	192.278	153.34	225.746	274.158	46.6573	146.148	253.747	245.182	321.379	293.91	251.925	171.578	141.688	236.45	150.702	191.826	230.213	266.76	287.278	178.003	192.626	185.924	151.931	99.2361	155.831	174.859	235.695	85.897	218.65	232.9	136.551	234.906	275.335	214.652	182.43	232.981	331.484	173.385	189.325	345.59	143.239	237.712	294.859	266.276	233.013	81.8659	460.195	341.558	96.213	208.704	209.4	263.028	170.243	192.692	176.227	118.882	248.541	63.296	225.63	225.805	97.9767	310.252	213.442	100.936	267.647	339.492	270.666	301.041	381.956	223.799	88.874	198.051	262.55	279.722	226.571	188.788	428.936	180.686	207.469	182.304	226.503	383.314	214.998	190.789	360.967	146.733	201.567	278.274	253.709	185.206
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	0	0	3.96863	0	0	0	0	0	0	20.0215	5.35808	7.10597	0	9.80414	5.64348	0	0	0	6.88692	6.45816	26.7354	0.946837	1.75406	4.38804	2.91075	3.2574	0.78958	13.792	0	20.8933	0	0.542625	0	0	23.4463	1.73779	5.35435	0	0.430511	0.272901	10.5221	6.51009	0.506531	0	3.88014	0	0	6.44585	0	1.34788	0	6.26242	1.48407	4.25167	3.93814	2.70155	0	0.252782	2.90735	3.57411	0	0	4.28072	0.989018	4.12628	5.46042	0	0.863667	0	0	13.8721	0	0	0	0	17.0758	0.450591	0	1.18996	1.72035	0	1.36418	0	0	1.36388	10.1081	12.2506	0.52925	1.1768	0.693775	3.91091	6.27795	0.649337	1.92201	0.484744	12.3298	9.69926	4.53623	0.943444	1.26251	1.71424	4.64053	2.55169	3.741	0	1.60817	3.95674	2.97631	1.28461	0.966984	0	6.95543	0	9.01045	0	3.44788	0.477921	3.11125	0	10.5946	0	0	0	10.1639	0	0	0	0	2.42001	0	2.14252	0	0.913007	0	0	0	0	14.3763	0	0	9.77651	19.1213	29.947	4.28457	5.84195	0	0	0	0	0	6.82624	1.7094	0	9.32842	0	0	3.47309	0	0.935633	0	4.63743	6.8203	10.3279	2.22028	0	0	0	0	15.2388
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	8.18168	14.85	13.3536	0	23.6608	0.691818	0	0	4.38861	12.0281	23.3261	25.1625	66.4266	10.3629	45.5133	40.3175	26.5678	71.5559	126.359	1.14412	33.363	4.87232	68.2898	25.2206	80.0931	10.6798	15.2378	0.381903	20.4597	38.4275	11.1059	6.43663	70.0119	57.6732	13.6984	90.6255	15.6743	0	50.3462	9.31938	136.418	30.2092	1.56541	17.9866	8.94586	16.8276	37.001	86.8564	48.9811	7.52518	4.92603	2.58841	15.8318	12.5938	37.9956	0.388098	2.48486	53.1596	33.9707	27.5168	1.74798	10.9764	16.2634	37.1368	25.3971	25.5975	35.5824	28.7612	3.44307	21.9851	211.517	6.15777	0	16.2295	6.89973	4.9835	45.8213	2.21825	34.2072	55.1012	7.16946	11.4155	2.32764	7.27048	1.73681	40.7506	13.6976	12.8532	15.5873	39.6357	1.01676	33.5952	20.7443	37.2881	29.6975	17.5186	20.1941	3.57237	70.9317	57.0914	50.003	18.6158	29.5766	20.981	1.31296	54.0087	1.91792	1.39901	3.42682	6.52582	2.20543	75.9556	4.41891	0.785436	45.3988	12.4408	10.5774	76.0169	44.8702	31.2797	73.2669	21.7951	37.3109	3.42487	0	18.4846	15.8074	0.841163	52.5809	45.4009	56.7931	0	17.4426	12.3214	0	28.9751	23.4138	41.0195	39.3751	0	1.64469	9.96854	0	25.6712	9.39541	0	103.245	7.77301	7.54499	75.3059	5.0052	119.322	0	61.8096	3.71923	1.42923	1.85302	31.6797	2.97517	7.45885	11.5257	0	5.17622	0	0	10.8692	55.2651	83.3791	1.66903
