Sample	Bin	Genes	X..contigs.....0.bp.	X..contigs.....10000.bp.	X..contigs.....50000.bp.	X..contigs.....100000.bp.	X..contigs.....250000.bp.	X..contigs.....500000.bp.	X..contigs.....1000000.bp.	X..contigs.....2000000.bp.	X..contigs.....3000000.bp.	Total.length.....0.bp.	Total.length.....10000.bp.	Total.length.....50000.bp.	Total.length.....100000.bp.	Total.length.....250000.bp.	Total.length.....500000.bp.	Total.length.....1000000.bp.	Total.length.....2000000.bp.	Total.length.....3000000.bp.	X..contigs	Largest.contig	Total.length	N50	N75	L50	L75	X..N.s.per.100.kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	tRNA	rna.16S	rna.23S	rna.5S	Majority.Class	Majority.Fraction	Size.Mb	Final.Class	Coverage
B46	bin.34	730	9	9	7	4	0	0	0	0	0	757109	757109	712296	521501	0	0	0	0	0	9	155093	757109	124492	66661	3	5	0	o__Clostridiales (UID1212)	172	263	149	120	143	0	0	0	0	49.44	0	0	6	0	0	0	Clostridiales_bacterium	81.553	0.76	Clostridiales_bacterium	25.8723644812042
B46	bin.35	272	54	3	0	0	0	0	0	0	0	264111	36253	0	0	0	0	0	0	0	54	13134	264111	5250	3376	16	33	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	2	0	0	0	Firmicutes_bacterium	50.561	0.26	Firmicutes	13.8299805763486
B46	bin.36	518	126	8	0	0	0	0	0	0	0	682896	111317	0	0	0	0	0	0	0	126	21469	682896	6094	4163	39	74	0	c__Clostridia (UID1118)	387	223	124	82	139	2	0	0	0	54.7	0.81	0	2	0	0	0	Clostridiales_bacterium	14.474	0.68	Clostridiales	10.621968791734
B46	bin.37	1989	218	103	1	0	0	0	0	0	0	2580427	1909649	58508	0	0	0	0	0	0	218	58508	2580427	14755	9685	53	106	0	p__Bacteroidetes (UID2605)	350	316	210	80	226	10	0	0	0	82.62	4.29	0	16	1	1	1	Bacteroides_sp.	96.625	2.58	Bacteroides_sp.	13.7453995017104
B46	bin.38	260	29	9	0	0	0	0	0	0	0	255084	146757	0	0	0	0	0	0	0	29	23518	255084	11687	8810	8	14	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	1	Faecalibacterium_prausnitzii	48.455	0.26	Faecalibacterium	21.3500258738298
B46	bin.39	216	6	5	3	0	0	0	0	0	0	223397	220088	178416	0	0	0	0	0	0	6	73004	223397	54153	51259	2	3	0	k__Bacteria (UID203)	5449	103	57	85	18	0	0	0	0	26.32	0	0	3	0	0	0	Clostridiales_bacterium	74.278	0.22	Clostridiales_bacterium	19.9199183516341
B46	bin.4	1144	38	23	5	3	0	0	0	0	0	1196053	1133617	686858	576573	0	0	0	0	0	38	232127	1196053	56928	28378	4	11	0	o__Clostridiales (UID1212)	172	263	149	156	106	1	0	0	0	43.62	0.67	0	19	0	0	1	Clostridiales_bacterium	53.375	1.2	Clostridiales	25.5512924594479
B46	bin.40	2246	145	92	6	0	0	0	0	0	0	2619206	2312999	426087	0	0	0	0	0	0	145	88576	2619206	24876	15041	31	65	0	k__Bacteria (UID2982)	88	229	147	5	223	1	0	0	0	96.94	0.23	0	22	1	1	1	Akkermansia_muciniphila	94.944	2.62	Akkermansia_muciniphila	16.7691850125572
B46	bin.41	1787	118	67	2	0	0	0	0	0	0	1988855	1664122	122929	0	0	0	0	0	0	118	68579	1988855	26076	14192	26	53	0	o__Clostridiales (UID1212)	172	261	147	38	218	5	0	0	0	95.04	2.04	80	25	0	0	1	Faecalibacterium_sp.	99.093	1.99	Faecalibacterium_sp.	23.5081994413871
B46	bin.5	472	21	11	4	0	0	0	0	0	0	472934	413892	258344	0	0	0	0	0	0	21	76201	472934	53171	24413	4	7	0	k__Bacteria (UID203)	5449	103	57	102	1	0	0	0	0	1.75	0	0	4	0	0	0	Christensenellaceae_bacterium	63.308	0.47	Christensenellaceae_bacterium	22.8475854981879
B46	bin.6	214	42	4	0	0	0	0	0	0	0	229477	52928	0	0	0	0	0	0	0	42	16377	229477	6579	3795	12	24	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Oscillibacter_sp.	31.003	0.23	Oscillibacter	15.0184985859149
B46	bin.7	305	90	0	0	0	0	0	0	0	0	292337	0	0	0	0	0	0	0	0	90	6931	292337	3009	2779	38	63	0	p__Euryarchaeota (UID3)	148	187	124	156	31	0	0	0	0	15.38	0	0	NA	0	0	0	Methanomassiliicoccaceae_archaeon	67.682	0.29	Methanomassiliicoccaceae_archaeon	7.17835922240428
B46	bin.8	1712	134	68	1	1	0	0	0	0	0	1856291	1438558	135791	135791	0	0	0	0	0	134	135791	1856291	17862	10914	31	64	0	c__Clostridia (UID1118)	387	223	124	18	201	4	0	0	0	89.52	2.09	75	22	0	1	1	Christensenellaceae_bacterium	54.486	1.86	Christensenellaceae	27.3739408314752
B46	bin.9	1284	179	51	0	0	0	0	0	0	0	1401929	769676	0	0	0	0	0	0	0	179	31539	1401929	10785	6125	45	88	0	o__Clostridiales (UID1120)	304	250	143	37	208	5	0	0	0	82.59	3.5	80	19	0	0	0	Clostridiales_bacterium	51.337	1.4	Clostridiales	27.358518156055
B47	bin.1	2070	203	99	4	0	0	0	0	0	0	2614996	2013409	229775	0	0	0	0	0	0	203	63758	2614996	17286	10618	45	94	0	o__Bacteroidales (UID2617)	213	406	265	42	363	1	0	0	0	91.51	0.13	0	11	0	0	2	Porphyromonadaceae_bacterium	98.722	2.61	Porphyromonadaceae_bacterium	23.0828842568019
B47	bin.10	2174	112	80	8	2	0	0	0	0	0	2363956	2177428	610648	208850	0	0	0	0	0	112	104850	2363956	30788	16765	23	49	0	o__Clostridiales (UID1212)	172	263	149	2	261	0	0	0	0	99.33	0	0	29	1	0	0	Butyrivibrio_sp.	99.217	2.36	Butyrivibrio_sp.	18.8583459252203
B47	bin.11	532	82	11	1	0	0	0	0	0	0	537201	231740	55382	0	0	0	0	0	0	82	55382	537201	7114	4290	16	40	0	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	6.9	0	0	NA	0	0	0	Oscillibacter_sp.	25.389	0.54	Oscillibacter	23.0653889326342
B47	bin.12	1696	302	36	0	0	0	0	0	0	0	1781248	498760	0	0	0	0	0	0	0	302	29915	1781248	6611	4326	84	168	0	k__Bacteria (UID203)	5449	104	58	11	52	32	9	0	0	82.76	16.41	3.39	7	0	0	0	Oscillibacter_sp.	84.104	1.78	Oscillibacter_sp.	17.9695359657948
B47	bin.13	1809	72	59	12	1	0	0	0	0	0	1945528	1869452	834121	111050	0	0	0	0	0	72	111050	1945528	35689	21829	16	33	0	o__Clostridiales (UID1212)	172	263	149	20	241	2	0	0	0	88.26	0.81	100	13	1	0	1	uncultured_Clostridiales	63.879	1.95	uncultured_Clostridiales	21.3841949332007
B47	bin.14	321	101	1	0	0	0	0	0	0	0	354468	13205	0	0	0	0	0	0	0	101	13205	354468	3395	2905	40	68	0	k__Bacteria (UID203)	5449	98	58	90	8	0	0	0	0	8.45	0	0	NA	0	0	0	Clostridiales_bacterium	70.701	0.35	Clostridiales_bacterium	10.9444293984224
B47	bin.15	1347	318	34	0	0	0	0	0	0	0	1888654	490060	0	0	0	0	0	0	0	318	25697	1888654	6674	4410	90	178	0	g__Prevotella (UID2724)	55	567	296	224	298	44	1	0	0	64.63	7.54	55.32	4	0	0	0	Prevotella_sp.	54.935	1.89	Prevotella	14.6460653989561
B47	bin.16	1858	263	71	0	0	0	0	0	0	0	2085378	1094983	0	0	0	0	0	0	0	263	28470	2085378	10227	6075	66	132	0	o__Clostridiales (UID1212)	172	263	149	58	201	4	0	0	0	86.13	2.01	100	13	0	0	1	Clostridiales_bacterium	92.261	2.09	Clostridiales_bacterium	20.0785181391575
B47	bin.17	791	280	0	0	0	0	0	0	0	0	1029242	0	0	0	0	0	0	0	0	280	9388	1029242	3643	2936	107	186	0	c__Deltaproteobacteria (UID3216)	83	247	155	193	53	1	0	0	0	21.92	0.65	0	12	0	0	0	unclassified_(taxid	14.82	1.03	unclassified	9.52851710287765
B47	bin.18	3861	454	140	2	0	0	0	0	0	0	4426018	2814354	111944	0	0	0	0	0	0	454	60312	4426018	13805	7290	91	200	0	o__Bacteroidales (UID2621)	198	427	260	46	355	24	2	0	0	96.79	6.73	6.67	49	1	0	3	Parabacteroides_sp.	41.746	4.43	Parabacteroides	17.1095214705408
B47	bin.19	238	80	0	0	0	0	0	0	0	0	264371	0	0	0	0	0	0	0	0	80	6542	264371	3234	2831	34	55	0	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	10.34	0	0	NA	0	0	0	Ruminococcaceae_bacterium	97.617	0.26	Ruminococcaceae_bacterium	8.66963471787753
B47	bin.2	714	208	1	0	0	0	0	0	0	0	842098	12576	0	0	0	0	0	0	0	208	12576	842098	4053	3079	74	133	0	k__Bacteria (UID203)	5449	104	58	72	32	0	0	0	0	46.71	0	0	2	0	0	0	Clostridiales_bacterium	13	0.84	Clostridiales	10.5484753555999
B47	bin.20	1966	481	33	0	0	0	0	0	0	0	2389836	442320	0	0	0	0	0	0	0	481	23073	2389836	5215	3597	144	284	0	g__Prevotella (UID2721)	65	530	280	248	246	35	1	0	0	52.5	9.42	60.53	18	0	0	1	Prevotella_sp.	69.599	2.39	Prevotella_sp.	14.0459847453968
B47	bin.21	1972	173	102	1	0	0	0	0	0	0	2624197	2160188	50871	0	0	0	0	0	0	173	50871	2624197	21091	11837	44	85	0	o__Bacteroidales (UID2716)	92	487	270	25	460	2	0	0	0	92.22	0.49	0	27	0	0	0	Prevotella_sp.	98.397	2.62	Prevotella_sp.	26.3949314780864
B47	bin.22	1593	245	51	0	0	0	0	0	0	0	1783097	798712	0	0	0	0	0	0	0	245	46236	1783097	9052	5345	61	125	0	o__Clostridiales (UID1212)	172	263	149	43	217	3	0	0	0	82.71	0.38	0	9	0	0	1	Ruminococcus_bromii	66.147	1.78	Ruminococcus_bromii	13.4879930817
B47	bin.23	1683	125	57	6	1	0	0	0	0	0	1843328	1478257	409658	100483	0	0	0	0	0	125	100483	1843328	23989	12408	23	49	0	o__Clostridiales (UID1120)	304	250	143	78	171	1	0	0	0	81.33	0.7	0	18	0	0	0	Clostridium_sp.	97.431	1.84	Clostridium_sp.	16.0356702659538
B47	bin.24	1679	388	9	0	0	0	0	0	0	0	1719591	143579	0	0	0	0	0	0	0	388	23733	1719591	4567	3317	127	239	0	o__Clostridiales (UID1212)	172	263	149	115	128	19	1	0	0	59.29	8.41	22.73	NA	0	0	1	Oscillibacter_sp.	50.588	1.72	Oscillibacter	14.8285842389266
B47	bin.25	609	90	12	1	0	0	0	0	0	0	582434	232362	56878	0	0	0	0	0	0	90	56878	582434	8389	3918	19	45	0	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	1.72	0	0	9	0	0	0	Clostridium_sp.	25.462	0.58	Clostridium	18.8130328929973
B47	bin.26	795	115	30	0	0	0	0	0	0	0	936505	446509	0	0	0	0	0	0	0	115	26186	936505	9288	6421	33	62	0	o__Clostridiales (UID1212)	172	263	149	76	186	1	0	0	0	63.71	0.22	0	18	1	1	1	Catabacter_sp.	24.198	0.94	Catabacter	13.2153058446031
B47	bin.27	1028	193	16	0	0	0	0	0	0	0	1174734	243518	0	0	0	0	0	0	0	193	24808	1174734	7138	4854	59	108	0	c__Clostridia (UID1118)	387	223	124	69	154	0	0	0	0	68.28	0	0	8	0	0	0	Clostridium_sp.	57.117	1.17	Clostridium	14.2066203923612
B47	bin.28	2093	92	64	16	5	0	0	0	0	0	2721589	2534415	1324885	616037	0	0	0	0	0	92	159359	2721589	44697	26229	17	36	0	p__Bacteroidetes (UID2605)	350	316	210	14	298	3	1	0	0	94.52	2.14	0	22	0	0	0	Bacteroides_sp.	96.504	2.72	Bacteroides_sp.	25.876647796563
B47	bin.29	507	161	2	0	0	0	0	0	0	0	644791	22794	0	0	0	0	0	0	0	161	12414	644791	3927	3159	58	104	0	k__Bacteria (UID203)	5449	103	57	82	21	0	0	0	0	21.45	0	0	NA	0	0	0	Clostridiales_bacterium	85.49	0.64	Clostridiales_bacterium	10.8451420692907
B47	bin.3	1079	258	10	0	0	0	0	0	0	0	1243603	136977	0	0	0	0	0	0	0	258	18989	1243603	5158	3576	82	155	0	o__Clostridiales (UID1212)	172	263	149	111	150	2	0	0	0	64.54	0.89	0	2	0	0	1	Ruminococcaceae_bacterium	49.061	1.24	Ruminococcaceae	10.9009064789969
B47	bin.30	2251	123	87	14	1	0	0	0	0	0	2946384	2727434	918341	103324	0	0	0	0	0	123	103324	2946384	36722	21668	28	54	0	p__Bacteroidetes (UID2605)	350	316	210	25	287	4	0	0	0	90.32	0.95	50	25	0	0	3	Bacteroidales_bacterium	90.195	2.95	Bacteroidales_bacterium	22.8772624342245
B47	bin.31	309	38	7	0	0	0	0	0	0	0	262624	99316	0	0	0	0	0	0	0	38	20927	262624	8982	5140	11	20	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	12	0	0	0	Firmicutes_bacterium	16.002	0.26	Firmicutes	22.9343091263556
B47	bin.32	390	125	2	0	0	0	0	0	0	0	477072	23448	0	0	0	0	0	0	0	125	11989	477072	3658	3015	45	82	0	o__Clostridiales (UID1212)	172	263	149	199	64	0	0	0	0	20.76	0	0	2	0	0	0	Firmicutes_bacterium	99.419	0.48	Firmicutes_bacterium	10.0371642016299
B47	bin.33	205	6	5	1	0	0	0	0	0	0	201681	191825	62845	0	0	0	0	0	0	6	62845	201681	44749	27430	2	4	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	2	0	0	0	Neoboletus_brunneissimus	31.161	0.2	Neoboletus	12.9791601588647
B47	bin.34	1663	32	25	11	4	1	0	0	0	0	1738272	1696079	1298273	753645	317193	0	0	0	0	32	317193	1738272	90964	44298	6	12	0	o__Clostridiales (UID1120)	304	250	143	11	239	0	0	0	0	93.71	0	0	39	0	0	2	Clostridiales_bacterium	23.925	1.74	Clostridiales	82.2284717236428
B47	bin.35	1192	258	17	0	0	0	0	0	0	0	1247546	197683	0	0	0	0	0	0	0	258	16174	1247546	4952	3682	84	156	0	o__Selenomonadales (UID1024)	64	334	167	107	221	6	0	0	0	70.44	2.61	83.33	11	1	0	0	Phascolarctobacterium_succinatutens	98.304	1.25	Phascolarctobacterium_succinatutens	11.5432617314311
B47	bin.36	1466	129	64	0	0	0	0	0	0	0	1607992	1255764	0	0	0	0	0	0	0	129	48401	1607992	17390	10966	31	60	0	o__Clostridiales (UID1212)	172	263	149	66	191	6	0	0	0	83.06	3.02	33.33	27	0	0	0	Oscillibacter_sp.	90.93	1.61	Oscillibacter_sp.	23.7052485335748
B47	bin.4	2230	56	49	22	9	0	0	0	0	0	2829899	2786128	2112072	1125550	0	0	0	0	0	56	165878	2829899	91772	48924	13	23	0	p__Bacteroidetes (UID2605)	350	316	210	9	303	4	0	0	0	96.27	1.35	25	32	1	0	1	Alistipes_sp.	97.589	2.83	Alistipes_sp.	101.165041579222
B47	bin.5	259	37	5	0	0	0	0	0	0	0	248729	112071	0	0	0	0	0	0	0	37	49453	248729	6843	4355	7	19	0	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	2.04	0	0	NA	0	0	0	Oscillibacter_sp.	52.928	0.25	Oscillibacter	28.049805209686
B47	bin.6	1373	26	22	10	5	1	0	0	0	0	1518776	1490162	1188749	886800	279388	0	0	0	0	26	279388	1518776	147458	52311	4	10	0	o__Clostridiales (UID1212)	172	263	149	52	211	0	0	0	0	75.5	0	0	33	1	0	2	Ruminococcaceae_bacterium	98.582	1.52	Ruminococcaceae_bacterium	29.8903524943771
B47	bin.7	927	251	4	0	0	0	0	0	0	0	1060116	50751	0	0	0	0	0	0	0	251	17479	1060116	4293	3267	88	158	0	k__Bacteria (UID203)	5449	104	58	64	34	6	0	0	0	43.97	1.65	50	4	0	0	2	Clostridiales_bacterium	53.23	1.06	Clostridiales	12.2290390862887
B47	bin.8	659	186	0	0	0	0	0	0	0	0	693631	0	0	0	0	0	0	0	0	186	9134	693631	3740	2983	70	123	0	k__Bacteria (UID203)	5449	103	57	83	20	0	0	0	0	29.27	0	0	2	0	0	0	Christensenellaceae_bacterium	50.693	0.69	Christensenellaceae	10.2402430110534
B47	bin.9	352	14	10	3	0	0	0	0	0	0	379207	358442	156377	0	0	0	0	0	0	14	53747	379207	43478	30626	4	7	0	k__Bacteria (UID203)	5449	104	58	87	17	0	0	0	0	24.14	0	0	4	0	0	0	Eubacterium_sp.	65.162	0.38	Eubacterium_sp.	23.3793152552564
B48	bin.1	1657	353	28	0	0	0	0	0	0	0	1908748	384938	0	0	0	0	0	0	0	353	27087	1908748	5933	4061	106	205	0	f__Lachnospiraceae (UID1286)	57	420	207	156	257	7	0	0	0	65.37	1.98	14.29	11	0	0	0	Clostridium_sp.	90.504	1.91	Clostridium_sp.	9.89061940077999
B48	bin.10	688	205	0	0	0	0	0	0	0	0	830987	0	0	0	0	0	0	0	0	205	9708	830987	4087	3065	71	130	0	k__Bacteria (UID203)	5449	104	58	73	30	1	0	0	0	46.55	1.72	0	4	0	0	0	Ruminococcus_bromii	48.474	0.83	Ruminococcus	9.26440485831908
B48	bin.11	2561	194	99	5	0	0	0	0	0	0	2760713	2280575	309494	0	0	0	0	0	0	194	69155	2760713	22720	12132	39	80	0	f__Lachnospiraceae (UID1286)	57	420	207	7	406	7	0	0	0	98.07	2.03	0	29	0	0	0	Roseburia_sp.	78.679	2.76	Roseburia_sp.	17.5552475030907
B48	bin.12	1951	366	60	0	0	0	0	0	0	0	2494017	929996	0	0	0	0	0	0	0	366	33403	2494017	7782	4992	96	197	0	o__Bacteroidales (UID2617)	213	406	265	59	347	0	0	0	0	84.4	0	0	4	0	0	0	Barnesiella_sp.	36.346	2.49	Barnesiella	13.656161926723
B48	bin.13	1358	264	31	0	0	0	0	0	0	0	1484860	398958	0	0	0	0	0	0	0	264	19451	1484860	6119	4226	76	152	0	k__Bacteria (UID1453)	901	171	117	30	139	2	0	0	0	76.07	0.85	0	4	0	0	0	Clostridium_sp.	36.99	1.48	Clostridium	13.258825747882
B48	bin.14	8877	938	366	12	0	0	0	0	0	0	10747003	7741437	766948	0	0	0	0	0	0	938	86915	10747003	16961	8756	189	401	0	k__Bacteria (UID203)	5449	104	58	34	11	13	39	5	2	82.38	153.28	83.89	129	0	0	16	Prevotella_copri	64.338	10.75	Prevotella_copri	53.8734054508034
B48	bin.15	1101	213	24	0	0	0	0	0	0	0	1237549	333891	0	0	0	0	0	0	0	213	24577	1237549	6530	4155	59	121	0	o__Clostridiales (UID1212)	172	263	149	89	172	2	0	0	0	71.36	0.73	0	6	0	0	0	Clostridiales_bacterium	93.8	1.24	Clostridiales_bacterium	11.0417446097084
B48	bin.16	576	147	6	0	0	0	0	0	0	0	727733	76655	0	0	0	0	0	0	0	147	14194	727733	5283	3663	47	88	0	k__Bacteria (UID203)	5449	103	58	96	7	0	0	0	0	12.07	0	0	2	0	0	1	Prevotella_sp.	91.906	0.73	Prevotella_sp.	13.0180986708037
B48	bin.17	346	87	2	0	0	0	0	0	0	0	335399	52946	0	0	0	0	0	0	0	87	42457	335399	3436	2812	29	56	0	k__Bacteria (UID203)	5449	104	58	82	22	0	0	0	0	16.58	0	0	2	0	0	0	Oscillibacter_sp.	50.424	0.34	Oscillibacter	11.3967244982841
B48	bin.18	384	59	9	0	0	0	0	0	0	0	387951	151820	0	0	0	0	0	0	0	59	35613	387951	7977	4918	14	29	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Prevotella_sp.	38.053	0.39	Prevotella	26.7779951591825
B48	bin.19	422	149	0	0	0	0	0	0	0	0	517920	0	0	0	0	0	0	0	0	149	7685	517920	3328	2842	59	101	0	k__Bacteria (UID203)	5449	103	57	86	17	0	0	0	0	26.32	0	0	NA	0	0	0	Firmicutes_bacterium	58.64	0.52	Firmicutes	7.65436746987952
B48	bin.2	1199	304	6	0	0	0	0	0	0	0	1287046	69486	0	0	0	0	0	0	0	304	16366	1287046	4280	3249	104	191	0	o__Clostridiales (UID1212)	172	263	149	109	141	13	0	0	0	60.34	6.26	53.85	2	0	0	0	Oscillibacter_sp.	81.417	1.29	Oscillibacter_sp.	12.8852037922499
B48	bin.20	1576	71	48	9	0	0	0	0	0	0	1800919	1642752	603636	0	0	0	0	0	0	71	89949	1800919	39290	23252	16	30	0	o__Clostridiales (UID1212)	172	263	149	36	227	0	0	0	0	96.64	0	0	30	0	1	2	Anaerotruncus_sp.	99.725	1.8	Anaerotruncus_sp.	24.9604229840431
B48	bin.21	234	70	0	0	0	0	0	0	0	0	239985	0	0	0	0	0	0	0	0	70	6401	239985	3267	2847	29	49	0	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	10.19	0	0	NA	0	0	0	Sutterella_sp.	74.618	0.24	Sutterella_sp.	7.22107631726983
B48	bin.22	640	191	1	0	0	0	0	0	0	0	705863	11935	0	0	0	0	0	0	0	191	11935	705863	3644	3070	75	127	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Faecalibacterium_prausnitzii	47.842	0.71	Faecalibacterium	12.7254863904185
B48	bin.3	3826	349	175	7	0	0	0	0	0	0	4585121	3620212	398369	0	0	0	0	0	0	349	77088	4585121	18495	11167	79	158	0	k__Bacteria (UID203)	5449	104	58	32	16	55	1	0	0	83.93	67.24	89.66	41	0	0	3	uncultured_Prevotella	50.576	4.59	uncultured	39.1939492981756
B48	bin.4	809	219	4	0	0	0	0	0	0	0	872325	45722	0	0	0	0	0	0	0	219	12706	872325	3955	3184	81	143	0	k__Bacteria (UID203)	5449	102	56	79	22	1	0	0	0	37.13	0.16	100	4	0	0	0	Faecalibacterium_sp.	91.499	0.87	Faecalibacterium_sp.	12.6771558765368
B48	bin.5	422	70	7	0	0	0	0	0	0	0	433140	133633	0	0	0	0	0	0	0	70	26746	433140	7882	4094	17	36	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	8	0	0	0	Oscillibacter_sp.	46.374	0.43	Oscillibacter	14.6755090732788
B48	bin.6	1200	314	25	0	0	0	0	0	0	0	1607786	319007	0	0	0	0	0	0	0	314	22648	1607786	5306	3806	94	184	0	k__Bacteria (UID203)	5449	104	58	72	32	0	0	0	0	43.73	0	0	NA	0	0	0	Prevotella_sp.	98.811	1.61	Prevotella_sp.	12.0648519143717
B48	bin.7	251	94	0	0	0	0	0	0	0	0	326934	0	0	0	0	0	0	0	0	94	8832	326934	3337	2880	38	64	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Bacteroides_vulgatus	50.207	0.33	Bacteroides	7.24136981776138
B48	bin.8	917	211	14	0	0	0	0	0	0	0	1072728	203656	0	0	0	0	0	0	0	211	22868	1072728	5473	3611	62	122	0	o__Clostridiales (UID1212)	172	263	149	109	153	1	0	0	0	63.87	0.67	0	NA	1	0	0	Ruminococcaceae_bacterium	67.69	1.07	Ruminococcaceae_bacterium	10.3927556659284
B48	bin.9	164	63	0	0	0	0	0	0	0	0	200028	0	0	0	0	0	0	0	0	63	5447	200028	3076	2766	28	45	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Bacteroides_(taxid	58.526	0.2	Bacteroides	7.82515447837303
B49	bin.1	268	17	6	1	0	0	0	0	0	0	246797	188087	83568	0	0	0	0	0	0	17	83568	246797	26907	12727	3	6	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	NA	0	0	0	Bacteroides_sp.	33.861	0.25	Bacteroides	28.2171177121278
B49	bin.10	3266	780	61	0	0	0	0	0	0	0	4035145	875713	0	0	0	0	0	0	0	780	32424	4035145	5589	3650	223	451	0	o__Bacteroidales (UID2654)	163	485	265	128	337	20	0	0	0	71.33	2.44	20	9	0	0	1	Bacteroides_vulgatus	52.443	4.04	Bacteroides	12.987228463909
B49	bin.11	703	188	0	0	0	0	0	0	0	0	732024	0	0	0	0	0	0	0	0	188	9972	732024	3967	3062	70	123	0	o__Clostridiales (UID1120)	304	250	143	148	102	0	0	0	0	38.74	0	0	NA	0	0	0	Clostridia_bacterium	78.056	0.73	Clostridia_bacterium	10.1154470345235
B49	bin.12	394	144	0	0	0	0	0	0	0	0	507542	0	0	0	0	0	0	0	0	144	7944	507542	3388	2980	58	98	0	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	12.76	0	0	NA	0	0	0	Alistipes_sp.	49.478	0.51	Alistipes	10.2372808555745
B49	bin.13	1618	67	50	8	1	0	0	0	0	0	1766856	1675395	652902	183219	0	0	0	0	0	67	183219	1766856	42957	21848	13	28	0	o__Clostridiales (UID1212)	172	263	149	58	203	2	0	0	0	83.64	1.34	0	30	0	0	2	Oscillibacter_sp.	88.31	1.77	Oscillibacter_sp.	33.1750295440036
B49	bin.14	1947	110	64	13	0	0	0	0	0	0	2289909	2004167	874960	0	0	0	0	0	0	110	83872	2289909	34468	16506	20	43	0	c__Gammaproteobacteria (UID4201)	1164	271	170	22	248	1	0	0	0	97.65	0.29	0	49	0	1	4	Succinatimonas_sp.	97.96	2.29	Succinatimonas_sp.	33.7611669284675
B49	bin.15	1653	362	13	0	0	0	0	0	0	0	1735155	167929	0	0	0	0	0	0	0	362	18667	1735155	5122	3584	114	216	0	o__Clostridiales (UID1212)	172	263	149	36	211	16	0	0	0	82.77	6.44	100	15	0	0	1	Ruminococcaceae_bacterium	94.847	1.74	Ruminococcaceae_bacterium	30.3171762753183
B49	bin.16	436	31	10	2	0	0	0	0	0	0	469253	373049	135171	0	0	0	0	0	0	31	83661	469253	35206	19611	5	9	0	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	2	0	0	1	Firmicutes_bacterium	48.655	0.47	Firmicutes	22.6007079336733
B49	bin.17	1611	435	10	0	0	0	0	0	0	0	1828012	127989	0	0	0	0	0	0	0	435	21397	1828012	4206	3211	148	273	0	o__Clostridiales (UID1212)	172	261	147	124	123	14	0	0	0	62.8	5.58	7.14	15	0	0	0	Subdoligranulum_sp.	63.042	1.83	Subdoligranulum_sp.	13.7666765863681
B49	bin.18	1653	422	11	0	0	0	0	0	0	0	1943613	130491	0	0	0	0	0	0	0	422	15447	1943613	4841	3561	143	260	0	o__Clostridiales (UID1120)	304	250	143	95	153	2	0	0	0	60.05	1.4	0	15	0	0	0	Clostridiales_bacterium	86.833	1.94	Clostridiales_bacterium	11.3573535472339
B49	bin.19	215	35	5	0	0	0	0	0	0	0	220189	75956	0	0	0	0	0	0	0	35	22567	220189	7713	3954	10	19	0	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	0.16	0	0	2	0	0	0	unclassified_(taxid	27.465	0.22	unclassified	11.0230302149517
B49	bin.2	1271	221	25	0	0	0	0	0	0	0	1279784	357760	0	0	0	0	0	0	0	221	21951	1279784	6464	4053	62	122	0	k__Bacteria (UID203)	5449	104	58	71	29	4	0	0	0	43.03	0.63	0	9	0	0	1	Firmicutes_bacterium	80.702	1.28	Firmicutes_bacterium	14.6423537096885
B49	bin.20	1696	251	51	0	0	0	0	0	0	0	1849435	805903	0	0	0	0	0	0	0	251	28966	1849435	8828	5410	64	130	0	o__Clostridiales (UID1212)	172	263	149	35	227	1	0	0	0	85.79	0.17	0	3	0	0	0	Butyrivibrio_crossotus	78.249	1.85	Butyrivibrio_crossotus	16.3097378388535
B49	bin.21	1639	250	52	0	0	0	0	0	0	0	1872205	794523	0	0	0	0	0	0	0	250	33297	1872205	8884	5825	68	132	0	o__Clostridiales (UID1212)	172	263	149	51	212	0	0	0	0	91.26	0	0	8	0	0	1	Clostridium_sp.	99.221	1.87	Clostridium_sp.	14.2914638087175
